community_id,size,tweet_count,dominant_emotion,dominant_agreement,entropy_bits,n_joy,n_sadness,n_anger,n_fear,n_disgust,n_surprise,n_neutral
16,3,3,neutral,0.6667,0.9183,1,0,0,0,0,0,2
29,3,3,neutral,0.6667,0.9183,0,0,0,0,0,1,2
23,3,13,joy,0.3333,1.585,1,1,0,0,0,0,1
67,3,3,joy,1.0,-0.0,3,0,0,0,0,0,0
79,3,5,sadness,0.3333,1.585,0,1,0,0,0,1,1
62,3,4,joy,0.6667,0.9183,2,0,0,0,0,0,1
88,3,10,surprise,0.3333,1.585,1,0,1,0,0,1,0
91,3,3,neutral,0.3333,1.585,1,0,1,0,0,0,1
98,3,12,neutral,0.6667,0.9183,1,0,0,0,0,0,2
101,3,6,neutral,0.6667,0.9183,0,0,0,1,0,0,2
102,3,3,neutral,0.6667,0.9183,0,0,1,0,0,0,2
104,3,5,neutral,1.0,-0.0,0,0,0,0,0,0,3
72,3,5,fear,0.3333,1.585,0,0,0,1,0,1,1
106,3,3,joy,1.0,-0.0,3,0,0,0,0,0,0
108,3,3,neutral,0.6667,0.9183,1,0,0,0,0,0,2
109,3,4,neutral,1.0,-0.0,0,0,0,0,0,0,3
86,3,3,joy,0.3333,1.585,1,0,0,1,0,1,0
118,3,3,joy,0.3333,1.585,1,1,1,0,0,0,0
61,3,4,neutral,0.6667,0.9183,1,0,0,0,0,0,2
117,3,5,joy,0.3333,1.585,1,0,1,0,0,1,0
58,2,6,joy,0.5,1.0,1,0,0,0,0,0,1
31,2,2,joy,1.0,-0.0,2,0,0,0,0,0,0
32,2,5,fear,0.5,1.0,0,0,0,1,0,0,1
95,2,3,joy,0.5,1.0,1,0,0,0,0,0,1
56,2,5,neutral,0.5,1.0,1,0,0,0,0,0,1
